date,product_id,units_sold,price_sold,product_name,category,base_price,stock_available,last_updated,day_of_week,is_weekend,price_deviation,days_since_stock_update,category_encoded,sales_velocity,stock_to_sales_ratio
2025-06-09,1,7,3090.92,Fitness Band #1,Wearables,2819,194,2025-07-07,0,0,0.09645973749556583,-28,9,7.0,24.25
2025-06-10,1,7,2947.28,Fitness Band #1,Wearables,2819,194,2025-07-07,1,0,0.04550549840368932,-27,9,7.0,24.25
2025-06-11,1,7,3142.59,Fitness Band #1,Wearables,2819,194,2025-07-07,2,0,0.11478893224547718,-26,9,7.0,24.25
2025-06-12,1,7,3013.35,Fitness Band #1,Wearables,2819,194,2025-07-07,3,0,0.06894288754877613,-25,9,7.0,24.25
2025-06-13,1,8,2989.71,Fitness Band #1,Wearables,2819,194,2025-07-07,4,0,0.060556935083362906,-24,9,7.333333333333333,21.555555555555557
2025-06-14,1,5,3193.04,Fitness Band #1,Wearables,2819,194,2025-07-07,5,1,0.13268534941468604,-23,9,6.666666666666667,32.333333333333336
2025-06-15,1,11,3125.83,Fitness Band #1,Wearables,2819,194,2025-07-07,6,1,0.10884356154664772,-22,9,8.0,16.166666666666668
2025-06-16,1,5,3001.36,Fitness Band #1,Wearables,2819,194,2025-07-07,0,0,0.06468960624334875,-21,9,7.0,32.333333333333336
2025-06-17,1,8,2966.14,Fitness Band #1,Wearables,2819,194,2025-07-07,1,0,0.05219581411848168,-20,9,8.0,21.555555555555557
2025-06-18,1,7,3234.15,Fitness Band #1,Wearables,2819,194,2025-07-07,2,0,0.14726853494146863,-19,9,6.666666666666667,24.25
2025-06-19,1,10,3153.4,Fitness Band #1,Wearables,2819,194,2025-07-07,3,0,0.11862362539907773,-18,9,8.333333333333334,17.636363636363637
2025-06-20,1,7,3047.91,Fitness Band #1,Wearables,2819,194,2025-07-07,4,0,0.08120255409719754,-17,9,8.0,24.25
2025-06-21,1,10,3073.08,Fitness Band #1,Wearables,2819,194,2025-07-07,5,1,0.09013125221709824,-16,9,9.0,17.636363636363637
2025-06-22,1,11,3096.05,Fitness Band #1,Wearables,2819,194,2025-07-07,6,1,0.09827953174884717,-15,9,9.333333333333334,16.166666666666668
2025-06-23,1,11,3179.59,Fitness Band #1,Wearables,2819,194,2025-07-07,0,0,0.12791415395530334,-14,9,10.666666666666666,16.166666666666668
2025-06-24,1,7,2970.9,Fitness Band #1,Wearables,2819,194,2025-07-07,1,0,0.05388435615466481,-13,9,9.666666666666666,24.25
2025-06-25,1,6,2985.83,Fitness Band #1,Wearables,2819,194,2025-07-07,2,0,0.05918056048244055,-12,9,8.0,27.714285714285715
2025-06-26,1,7,3109.19,Fitness Band #1,Wearables,2819,194,2025-07-07,3,0,0.10294075913444486,-11,9,6.666666666666667,24.25
2025-06-27,1,5,3207.24,Fitness Band #1,Wearables,2819,194,2025-07-07,4,0,0.13772259666548414,-10,9,6.0,32.333333333333336
2025-06-28,1,6,3252.77,Fitness Band #1,Wearables,2819,194,2025-07-07,5,1,0.15387371408300815,-9,9,6.0,27.714285714285715
2025-06-29,1,5,3112.0,Fitness Band #1,Wearables,2819,194,2025-07-07,6,1,0.10393756651294786,-8,9,5.333333333333333,32.333333333333336
2025-06-30,1,9,3206.02,Fitness Band #1,Wearables,2819,194,2025-07-07,0,0,0.13728981908478183,-7,9,6.666666666666667,19.4
2025-07-01,1,6,2999.34,Fitness Band #1,Wearables,2819,194,2025-07-07,1,0,0.06397304008513663,-6,9,6.666666666666667,27.714285714285715
2025-07-02,1,8,3206.69,Fitness Band #1,Wearables,2819,194,2025-07-07,2,0,0.13752749201844627,-5,9,7.666666666666667,21.555555555555557
2025-07-03,1,8,3186.75,Fitness Band #1,Wearables,2819,194,2025-07-07,3,0,0.1304540617240156,-4,9,7.333333333333333,21.555555555555557
2025-07-04,1,5,2950.7,Fitness Band #1,Wearables,2819,194,2025-07-07,4,0,0.04671869457254339,-3,9,7.0,32.333333333333336
2025-07-05,1,7,3110.1,Fitness Band #1,Wearables,2819,194,2025-07-07,5,1,0.10326356864136216,-2,9,6.666666666666667,24.25
2025-07-06,1,8,3014.31,Fitness Band #1,Wearables,2819,194,2025-07-07,6,1,0.06928343384178785,-1,9,6.666666666666667,21.555555555555557
2025-07-07,1,13,3191.39,Fitness Band #1,Wearables,2819,194,2025-07-07,0,0,0.13210003547357213,0,9,9.333333333333334,13.857142857142858
2025-07-08,1,5,3061.11,Fitness Band #1,Wearables,2819,194,2025-07-07,1,0,0.08588506562610859,1,9,8.666666666666666,32.333333333333336
2025-06-09,2,5,4354.88,Fitness Band #2,Wearables,3340,194,2025-07-07,0,0,0.30385628742514975,-28,9,5.0,32.333333333333336
2025-06-10,2,2,4473.76,Fitness Band #2,Wearables,3340,194,2025-07-07,1,0,0.33944910179640725,-27,9,3.5,64.66666666666667
2025-06-11,2,5,4381.54,Fitness Band #2,Wearables,3340,194,2025-07-07,2,0,0.3118383233532934,-26,9,4.0,32.333333333333336
2025-06-12,2,0,4632.53,Fitness Band #2,Wearables,3340,194,2025-07-07,3,0,0.3869850299401197,-25,9,2.3333333333333335,194.0
2025-06-13,2,4,4625.96,Fitness Band #2,Wearables,3340,194,2025-07-07,4,0,0.3850179640718563,-24,9,3.0,38.8
2025-06-14,2,0,4445.63,Fitness Band #2,Wearables,3340,194,2025-07-07,5,1,0.33102694610778444,-23,9,1.3333333333333333,194.0
2025-06-15,2,4,4407.16,Fitness Band #2,Wearables,3340,194,2025-07-07,6,1,0.3195089820359281,-22,9,2.6666666666666665,38.8
2025-06-16,2,1,4534.79,Fitness Band #2,Wearables,3340,194,2025-07-07,0,0,0.35772155688622753,-21,9,1.6666666666666667,97.0
2025-06-17,2,0,4350.3,Fitness Band #2,Wearables,3340,194,2025-07-07,1,0,0.30248502994011983,-20,9,1.6666666666666667,194.0
2025-06-18,2,4,4471.7,Fitness Band #2,Wearables,3340,194,2025-07-07,2,0,0.33883233532934126,-19,9,1.6666666666666667,38.8
2025-06-19,2,1,4643.17,Fitness Band #2,Wearables,3340,194,2025-07-07,3,0,0.39017065868263473,-18,9,1.6666666666666667,97.0
2025-06-20,2,2,4257.1,Fitness Band #2,Wearables,3340,194,2025-07-07,4,0,0.2745808383233534,-17,9,2.3333333333333335,64.66666666666667
2025-06-21,2,5,4252.0,Fitness Band #2,Wearables,3340,194,2025-07-07,5,1,0.27305389221556886,-16,9,2.6666666666666665,32.333333333333336
2025-06-22,2,0,4664.95,Fitness Band #2,Wearables,3340,194,2025-07-07,6,1,0.396691616766467,-15,9,2.3333333333333335,194.0
2025-06-23,2,1,4393.79,Fitness Band #2,Wearables,3340,194,2025-07-07,0,0,0.3155059880239521,-14,9,2.0,97.0
2025-06-24,2,3,4378.25,Fitness Band #2,Wearables,3340,194,2025-07-07,1,0,0.31085329341317364,-13,9,1.3333333333333333,48.5
2025-06-25,2,0,4608.02,Fitness Band #2,Wearables,3340,194,2025-07-07,2,0,0.3796467065868265,-12,9,1.3333333333333333,194.0
2025-06-26,2,0,4522.81,Fitness Band #2,Wearables,3340,194,2025-07-07,3,0,0.35413473053892225,-11,9,1.0,194.0
2025-06-27,2,2,4437.5,Fitness Band #2,Wearables,3340,194,2025-07-07,4,0,0.3285928143712575,-10,9,0.6666666666666666,64.66666666666667
2025-06-28,2,1,4396.16,Fitness Band #2,Wearables,3340,194,2025-07-07,5,1,0.3162155688622754,-9,9,1.0,97.0
2025-06-29,2,1,4512.66,Fitness Band #2,Wearables,3340,194,2025-07-07,6,1,0.3510958083832335,-8,9,1.3333333333333333,97.0
2025-06-30,2,3,4512.38,Fitness Band #2,Wearables,3340,194,2025-07-07,0,0,0.35101197604790424,-7,9,1.6666666666666667,48.5
