product_id,stock_available,last_updated
1,455,2025-07-07
2,142,2025-07-07
3,154,2025-07-07
4,490,2025-07-07
5,288,2025-07-07
6,407,2025-07-07
7,421,2025-07-07
8,106,2025-07-07
9,231,2025-07-07
10,54,2025-07-07
11,283,2025-07-07
12,176,2025-07-07
13,475,2025-07-07
14,228,2025-07-07
15,482,2025-07-07
16,304,2025-07-07
17,188,2025-07-07
18,413,2025-07-07
19,293,2025-07-07
20,242,2025-07-07
21,169,2025-07-07
22,179,2025-07-07
23,459,2025-07-07
24,193,2025-07-07
25,320,2025-07-07
26,286,2025-07-07
27,172,2025-07-07
28,459,2025-07-07
29,260,2025-07-07
30,272,2025-07-07
31,256,2025-07-07
32,412,2025-07-07
33,416,2025-07-07
34,159,2025-07-07
35,398,2025-07-07
36,222,2025-07-07
37,378,2025-07-07
38,71,2025-07-07
39,487,2025-07-07
40,373,2025-07-07
41,144,2025-07-07
42,303,2025-07-07
43,74,2025-07-07
44,238,2025-07-07
45,344,2025-07-07
46,159,2025-07-07
47,241,2025-07-07
48,173,2025-07-07
49,63,2025-07-07
50,383,2025-07-07
51,422,2025-07-07
52,454,2025-07-07
53,137,2025-07-07
54,267,2025-07-07
55,372,2025-07-07
56,259,2025-07-07
57,115,2025-07-07
58,208,2025-07-07
59,155,2025-07-07
60,408,2025-07-07
61,249,2025-07-07
62,237,2025-07-07
63,405,2025-07-07
64,111,2025-07-07
65,456,2025-07-07
66,173,2025-07-07
67,272,2025-07-07
68,259,2025-07-07
69,159,2025-07-07
70,376,2025-07-07
71,493,2025-07-07
72,196,2025-07-07
73,264,2025-07-07
74,291,2025-07-07
75,303,2025-07-07
76,339,2025-07-07
77,492,2025-07-07
78,163,2025-07-07
79,124,2025-07-07
80,301,2025-07-07
81,125,2025-07-07
82,467,2025-07-07
83,165,2025-07-07
84,354,2025-07-07
85,414,2025-07-07
86,220,2025-07-07
87,288,2025-07-07
88,460,2025-07-07
89,69,2025-07-07
90,300,2025-07-07
91,187,2025-07-07
92,193,2025-07-07
93,228,2025-07-07
94,295,2025-07-07
95,410,2025-07-07
96,184,2025-07-07
97,221,2025-07-07
98,244,2025-07-07
99,162,2025-07-07
100,99,2025-07-07
