date,product_id,units_sold,price_sold
2025-07-08,1,5,3061.11
2025-07-08,2,3,4290.16
2025-07-08,3,10,2626.56
2025-07-08,4,4,4285.35
2025-07-08,5,7,2835.23
2025-07-08,6,2,4250.05
2025-07-08,7,0,4305.04
2025-07-08,8,2,4871.14
2025-07-08,9,6,3238.83
2025-07-08,10,3,3881.43
2025-07-08,11,11,1863.78
2025-07-08,12,12,2386.39
2025-07-08,13,13,1940.77
2025-07-08,14,10,2347.04
2025-07-08,15,4,3644.28
2025-07-08,16,9,3232.5
2025-07-08,17,16,673.18
2025-07-08,18,7,3163.47
2025-07-08,19,4,3803.27
2025-07-08,20,17,1046.74
2025-07-08,21,18,1952.53
2025-07-08,22,15,1770.39
2025-07-08,23,5,3769.05
2025-07-08,24,10,2958.77
2025-07-08,25,8,2505.47
2025-07-08,26,11,1393.39
2025-07-08,27,8,2326.03
2025-07-08,28,15,846.6
2025-07-08,29,17,1155.95
2025-07-08,30,14,1944.53
2025-07-08,31,5,3497.37
2025-07-08,32,7,2891.49
2025-07-08,33,0,4409.5
2025-07-08,34,16,1491.92
2025-07-08,35,8,3408.34
2025-07-08,36,1,4308.46
2025-07-08,37,15,762.42
2025-07-08,38,7,3126.27
2025-07-08,39,3,4766.13
2025-07-08,40,6,3525.81
2025-07-08,41,4,3722.44
2025-07-08,42,10,2377.95
2025-07-08,43,2,3712.49
2025-07-08,44,15,1887.62
2025-07-08,45,18,256.03
2025-07-08,46,10,1803.95
2025-07-08,47,4,3903.19
2025-07-08,48,4,3776.57
2025-07-08,49,1,4907.17
2025-07-08,50,12,2470.48
2025-07-08,51,9,3418.76
2025-07-08,52,10,2553.28
2025-07-08,53,19,250.36
2025-07-08,54,7,3019.83
2025-07-08,55,6,2221.47
2025-07-08,56,12,2181.64
2025-07-08,57,20,364.59
2025-07-08,58,8,2953.84
2025-07-08,59,16,601.13
2025-07-08,60,22,297.4
2025-07-08,61,2,4473.74
2025-07-08,62,14,766.43
2025-07-08,63,20,245.6
2025-07-08,64,16,849.23
2025-07-08,65,11,2419.39
2025-07-08,66,14,1347.96
2025-07-08,67,2,4609.3
2025-07-08,68,15,1338.56
2025-07-08,69,12,1573.63
2025-07-08,70,21,363.1
2025-07-08,71,7,3877.05
2025-07-08,72,11,2869.23
2025-07-08,73,9,2520.33
2025-07-08,74,13,2323.8
2025-07-08,75,15,2223.95
2025-07-08,76,14,2053.68
2025-07-08,77,12,2355.85
2025-07-08,78,1,4153.21
2025-07-08,79,6,3847.08
2025-07-08,80,5,3613.11
2025-07-08,81,16,874.87
2025-07-08,82,2,4620.76
2025-07-08,83,8,3603.81
2025-07-08,84,6,4630.3
2025-07-08,85,2,3791.19
2025-07-08,86,19,994.77
2025-07-08,87,18,903.97
2025-07-08,88,22,337.36
2025-07-08,89,4,4116.82
2025-07-08,90,8,3468.96
2025-07-08,91,17,940.94
2025-07-08,92,3,3566.14
2025-07-08,93,15,1699.44
2025-07-08,94,0,4632.98
2025-07-08,95,16,1356.89
2025-07-08,96,15,2009.82
2025-07-08,97,14,1137.65
2025-07-08,98,12,2162.02
2025-07-08,99,7,3698.08
2025-07-08,100,2,4229.75
2025-07-07,1,13,3191.39
2025-07-07,2,2,4439.68
2025-07-07,3,7,2664.25
2025-07-07,4,6,3998.31
2025-07-07,5,8,3021.32
2025-07-07,6,3,4593.81
2025-07-07,7,0,4594.58
2025-07-07,8,1,4917.84
2025-07-07,9,5,3315.47
2025-07-07,10,3,3956.35
2025-07-07,11,14,1953.65
2025-07-07,12,14,2287.01
2025-07-07,13,14,1945.12
2025-07-07,14,10,2485.43
2025-07-07,15,2,3885.06
2025-07-07,16,9,3298.48
2025-07-07,17,18,681.45
2025-07-07,18,7,3295.79
2025-07-07,19,7,3993.52
2025-07-07,20,16,1045.45
2025-07-07,21,12,2030.19
2025-07-07,22,13,1798.39
2025-07-07,23,6,3555.21
2025-07-07,24,7,2707.25
2025-07-07,25,6,2604.01
2025-07-07,26,15,1438.95
2025-07-07,27,10,2146.27
2025-07-07,28,16,844.88
2025-07-07,29,16,1231.37
2025-07-07,30,10,1822.17
2025-07-07,31,12,3252.35
2025-07-07,32,11,3048.33
2025-07-07,33,2,4351.2
2025-07-07,34,15,1532.38
2025-07-07,35,5,3576.55
2025-07-07,36,0,4070.84
2025-07-07,37,16,699.16
2025-07-07,38,11,2961.0
2025-07-07,39,2,4485.42
2025-07-07,40,2,3603.71
2025-07-07,41,5,3773.5
2025-07-07,42,13,2502.65
2025-07-07,43,3,3863.68
2025-07-07,44,10,1934.63
2025-07-07,45,19,234.05
2025-07-07,46,17,1688.26
2025-07-07,47,1,4008.64
2025-07-07,48,4,3883.14
2025-07-07,49,4,4657.25
2025-07-07,50,14,2273.69
2025-07-07,51,7,3276.4
2025-07-07,52,14,2543.55
2025-07-07,53,19,259.05
2025-07-07,54,8,3068.09
2025-07-07,55,7,2247.78
2025-07-07,56,13,2276.15
2025-07-07,57,20,377.42
2025-07-07,58,8,2972.75
2025-07-07,59,17,627.67
2025-07-07,60,20,278.86
2025-07-07,61,1,4423.47
2025-07-07,62,16,797.38
2025-07-07,63,20,254.24
2025-07-07,64,18,874.77
2025-07-07,65,11,2477.79
2025-07-07,66,13,1426.47
2025-07-07,67,0,5013.41
2025-07-07,68,12,1411.98
2025-07-07,69,17,1522.37
2025-07-07,70,18,364.04
2025-07-07,71,5,3773.07
2025-07-07,72,10,2952.33
2025-07-07,73,9,2580.71
2025-07-07,74,13,2281.65
2025-07-07,75,10,2425.49
2025-07-07,76,10,2255.12
2025-07-07,77,14,2459.03
2025-07-07,78,5,4270.87
2025-07-07,79,7,3696.94
2025-07-07,80,2,3843.62
2025-07-07,81,15,914.92
2025-07-07,82,1,4570.53
2025-07-07,83,5,3472.58
2025-07-07,84,3,4570.99
2025-07-07,85,6,3810.91
2025-07-07,86,19,969.71
2025-07-07,87,16,847.24
2025-07-07,88,19,363.33
2025-07-07,89,4,4348.88
2025-07-07,90,3,3811.16
2025-07-07,91,15,1027.63
2025-07-07,92,9,3353.27
2025-07-07,93,9,1720.39
2025-07-07,94,3,4951.34
2025-07-07,95,14,1327.31
2025-07-07,96,12,1935.91
2025-07-07,97,19,1070.31
2025-07-07,98,13,2209.27
2025-07-07,99,1,3962.02
2025-07-07,100,1,4328.89
2025-07-06,1,8,3014.31
2025-07-06,2,3,4662.02
2025-07-06,3,10,2630.88
2025-07-06,4,3,4207.7
2025-07-06,5,7,3016.53
2025-07-06,6,5,4444.99
2025-07-06,7,2,4428.02
2025-07-06,8,1,5034.77
2025-07-06,9,7,3131.7
2025-07-06,10,1,3876.31
2025-07-06,11,9,1887.66
2025-07-06,12,11,2457.78
2025-07-06,13,14,1958.52
2025-07-06,14,13,2407.16
2025-07-06,15,4,3974.87
2025-07-06,16,5,3472.59
2025-07-06,17,18,693.21
2025-07-06,18,5,3127.3
2025-07-06,19,3,4176.45
2025-07-06,20,17,1026.78
2025-07-06,21,12,1973.05
2025-07-06,22,12,1894.67
2025-07-06,23,8,3712.64
2025-07-06,24,9,2965.27
2025-07-06,25,8,2704.36
2025-07-06,26,12,1373.12
2025-07-06,27,8,2354.25
2025-07-06,28,18,857.47
2025-07-06,29,14,1213.16
2025-07-06,30,12,1933.62
2025-07-06,31,6,3411.91
2025-07-06,32,10,3112.9
2025-07-06,33,5,4277.09
2025-07-06,34,14,1544.94
2025-07-06,35,9,3346.86
2025-07-06,36,5,4128.01
2025-07-06,37,14,707.31
2025-07-06,38,11,3041.86
2025-07-06,39,1,4832.73
2025-07-06,40,1,3628.07
2025-07-06,41,7,3675.58
2025-07-06,42,10,2586.26
2025-07-06,43,5,3757.54
2025-07-06,44,14,1840.4
2025-07-06,45,19,244.99
2025-07-06,46,14,1728.88
2025-07-06,47,3,4065.52
2025-07-06,48,4,3763.93
2025-07-06,49,0,4530.0
2025-07-06,50,12,2345.24
2025-07-06,51,10,3449.65
2025-07-06,52,10,2375.52
2025-07-06,53,18,247.15
2025-07-06,54,7,2916.88
2025-07-06,55,9,2071.32
2025-07-06,56,11,2213.54
2025-07-06,57,19,379.13
2025-07-06,58,8,3097.03
2025-07-06,59,20,607.67
2025-07-06,60,18,291.05
2025-07-06,61,2,4141.1
2025-07-06,62,15,780.79
2025-07-06,63,18,253.97
2025-07-06,64,12,870.01
2025-07-06,65,12,2415.64
2025-07-06,66,12,1438.7
2025-07-06,67,0,4784.58
2025-07-06,68,15,1366.77
2025-07-06,69,12,1552.05
2025-07-06,70,17,350.64
2025-07-06,71,3,3740.44
2025-07-06,72,7,2809.68
2025-07-06,73,10,2528.07
2025-07-06,74,12,2441.97
2025-07-06,75,9,2398.41
2025-07-06,76,11,2166.01
2025-07-06,77,10,2373.43
2025-07-06,78,6,4133.12
2025-07-06,79,8,3693.38
2025-07-06,80,2,3775.53
2025-07-06,81,17,876.21
2025-07-06,82,2,4428.49
2025-07-06,83,5,3353.9
2025-07-06,84,0,4591.72
2025-07-06,85,3,3828.13
2025-07-06,86,15,1050.07
2025-07-06,87,12,846.89
2025-07-06,88,20,368.98
2025-07-06,89,4,4095.69
2025-07-06,90,4,3781.34
2025-07-06,91,15,1011.07
2025-07-06,92,4,3558.01
2025-07-06,93,17,1745.88
2025-07-06,94,4,4653.31
2025-07-06,95,13,1418.22
2025-07-06,96,10,1927.52
2025-07-06,97,15,1120.85
2025-07-06,98,11,2215.24
2025-07-06,99,3,3706.95
2025-07-06,100,3,4167.13
2025-07-05,1,7,3110.1
2025-07-05,2,2,4280.57
2025-07-05,3,8,2628.02
2025-07-05,4,4,4274.19
2025-07-05,5,6,3055.5
2025-07-05,6,7,4350.31
2025-07-05,7,3,4324.64
2025-07-05,8,0,4816.41
2025-07-05,9,9,3064.15
2025-07-05,10,6,4068.48
2025-07-05,11,12,1804.57
2025-07-05,12,12,2302.85
2025-07-05,13,14,1858.44
2025-07-05,14,12,2432.6
2025-07-05,15,4,3756.21
2025-07-05,16,8,3474.63
2025-07-05,17,16,656.98
2025-07-05,18,3,3102.14
2025-07-05,19,0,4087.77
2025-07-05,20,16,1071.16
2025-07-05,21,14,1966.89
2025-07-05,22,13,1850.71
2025-07-05,23,6,3462.08
2025-07-05,24,10,2792.13
2025-07-05,25,11,2518.74
2025-07-05,26,17,1430.77
2025-07-05,27,10,2340.7
2025-07-05,28,18,827.13
2025-07-05,29,19,1168.84
2025-07-05,30,13,1972.62
2025-07-05,31,9,3351.23
2025-07-05,32,7,2901.73
2025-07-05,33,5,4139.8
2025-07-05,34,16,1582.02
2025-07-05,35,2,3541.38
2025-07-05,36,3,4184.42
2025-07-05,37,18,710.63
2025-07-05,38,9,3030.65
2025-07-05,39,1,4627.35
2025-07-05,40,11,3567.32
2025-07-05,41,9,3535.03
2025-07-05,42,11,2579.57
2025-07-05,43,4,3975.72
2025-07-05,44,10,1906.13
2025-07-05,45,20,244.13
2025-07-05,46,13,1833.86
2025-07-05,47,9,3992.28
2025-07-05,48,5,3869.52
2025-07-05,49,4,4495.52
2025-07-05,50,10,2264.0
2025-07-05,51,8,3262.76
2025-07-05,52,5,2559.12
2025-07-05,53,22,251.08
2025-07-05,54,6,3027.46
2025-07-05,55,9,2093.71
2025-07-05,56,11,2171.38
2025-07-05,57,21,378.94
2025-07-05,58,8,2965.62
2025-07-05,59,16,604.84
2025-07-05,60,20,297.09
2025-07-05,61,1,4125.77
2025-07-05,62,17,820.86
2025-07-05,63,18,251.06
2025-07-05,64,17,870.22
2025-07-05,65,10,2459.52
2025-07-05,66,15,1341.19
2025-07-05,67,6,4557.52
2025-07-05,68,13,1314.33
2025-07-05,69,17,1589.62
2025-07-05,70,14,352.9
2025-07-05,71,2,3890.01
2025-07-05,72,9,2768.06
2025-07-05,73,9,2723.08
2025-07-05,74,12,2344.0
2025-07-05,75,10,2364.57
2025-07-05,76,12,2083.8
2025-07-05,77,10,2403.82
2025-07-05,78,3,4173.64
2025-07-05,79,5,3673.48
2025-07-05,80,5,3628.49
2025-07-05,81,16,902.58
2025-07-05,82,1,4431.19
2025-07-05,83,6,3570.64
2025-07-05,84,1,4704.13
2025-07-05,85,2,4018.43
2025-07-05,86,14,1050.03
2025-07-05,87,14,840.95
2025-07-05,88,23,365.82
2025-07-05,89,0,4396.26
2025-07-05,90,4,3604.11
2025-07-05,91,18,988.85
2025-07-05,92,3,3467.3
2025-07-05,93,10,1682.71
2025-07-05,94,0,4971.37
2025-07-05,95,16,1417.4
2025-07-05,96,12,2000.23
2025-07-05,97,20,1111.62
2025-07-05,98,13,2137.95
2025-07-05,99,3,3650.42
2025-07-05,100,3,4079.94
2025-07-04,1,5,2950.7
2025-07-04,2,3,4467.07
2025-07-04,3,8,2789.61
2025-07-04,4,5,3992.72
2025-07-04,5,12,2869.86
2025-07-04,6,5,4461.43
2025-07-04,7,2,4248.46
2025-07-04,8,1,4916.86
2025-07-04,9,6,3209.06
2025-07-04,10,4,3974.58
2025-07-04,11,10,1824.33
2025-07-04,12,9,2348.61
2025-07-04,13,13,1965.12
2025-07-04,14,7,2421.19
2025-07-04,15,4,3872.36
2025-07-04,16,7,3271.99
2025-07-04,17,19,630.01
2025-07-04,18,5,3023.03
2025-07-04,19,0,3987.55
2025-07-04,20,18,1057.9
2025-07-04,21,13,1911.71
2025-07-04,22,12,1827.18
2025-07-04,23,2,3667.82
2025-07-04,24,7,2929.59
2025-07-04,25,7,2691.24
2025-07-04,26,16,1438.87
2025-07-04,27,9,2220.69
2025-07-04,28,17,846.53
2025-07-04,29,17,1243.72
2025-07-04,30,14,1931.18
2025-07-04,31,5,3470.47
2025-07-04,32,9,3003.82
2025-07-04,33,5,4136.37
2025-07-04,34,15,1487.3
2025-07-04,35,6,3542.58
2025-07-04,36,1,4450.2
2025-07-04,37,20,766.61
2025-07-04,38,7,3166.47
2025-07-04,39,0,4560.97
2025-07-04,40,7,3394.14
2025-07-04,41,3,3556.88
2025-07-04,42,12,2530.63
2025-07-04,43,6,3725.71
2025-07-04,44,8,1940.83
2025-07-04,45,21,241.54
2025-07-04,46,14,1779.38
2025-07-04,47,5,3904.86
2025-07-04,48,4,4025.79
2025-07-04,49,2,4939.28
2025-07-04,50,9,2358.64
2025-07-04,51,8,3311.32
2025-07-04,52,10,2574.89
2025-07-04,53,16,261.84
2025-07-04,54,4,3114.27
2025-07-04,55,11,2096.76
2025-07-04,56,10,2196.26
2025-07-04,57,15,371.28
2025-07-04,58,5,3061.02
2025-07-04,59,18,583.1
2025-07-04,60,18,294.77
2025-07-04,61,6,4466.17
2025-07-04,62,16,755.96
2025-07-04,63,22,263.33
2025-07-04,64,20,850.08
2025-07-04,65,9,2464.78
2025-07-04,66,14,1340.6
2025-07-04,67,0,4912.61
2025-07-04,68,14,1438.45
2025-07-04,69,13,1606.37
2025-07-04,70,17,364.17
2025-07-04,71,4,4006.02
2025-07-04,72,8,2780.22
2025-07-04,73,14,2555.42
2025-07-04,74,12,2418.21
2025-07-04,75,10,2235.78
2025-07-04,76,13,2078.05
2025-07-04,77,11,2444.47
2025-07-04,78,4,4314.83
2025-07-04,79,2,3619.09
2025-07-04,80,3,3658.93
2025-07-04,81,15,908.86
2025-07-04,82,2,4420.74
2025-07-04,83,0,3557.01
2025-07-04,84,0,4796.92
2025-07-04,85,6,4080.31
2025-07-04,86,14,1016.64
2025-07-04,87,17,863.41
2025-07-04,88,20,357.58
2025-07-04,89,3,4410.38
2025-07-04,90,6,3770.94
2025-07-04,91,18,999.35
2025-07-04,92,8,3587.43
2025-07-04,93,13,1616.85
2025-07-04,94,0,4873.86
2025-07-04,95,16,1334.15
2025-07-04,96,13,1943.45
2025-07-04,97,18,1064.72
2025-07-04,98,8,2296.43
2025-07-04,99,6,3836.92
2025-07-04,100,0,4191.69
2025-07-03,1,8,3186.75
2025-07-03,2,1,4461.33
2025-07-03,3,11,2875.23
2025-07-03,4,0,4379.37
2025-07-03,5,9,2859.63
2025-07-03,6,4,4199.32
2025-07-03,7,2,4303.6
2025-07-03,8,0,5015.88
2025-07-03,9,6,3153.64
2025-07-03,10,4,4080.16
2025-07-03,11,13,1960.64
2025-07-03,12,10,2269.71
2025-07-03,13,13,1831.1
2025-07-03,14,6,2492.63
2025-07-03,15,1,3879.84
2025-07-03,16,5,3535.43
2025-07-03,17,15,656.12
2025-07-03,18,6,3258.31
2025-07-03,19,6,4066.26
2025-07-03,20,19,1006.65
2025-07-03,21,11,2079.72
2025-07-03,22,10,1909.09
2025-07-03,23,3,3571.1
2025-07-03,24,12,2774.9
2025-07-03,25,11,2739.46
2025-07-03,26,14,1387.49
2025-07-03,27,11,2187.39
2025-07-03,28,17,831.92
2025-07-03,29,16,1242.69
2025-07-03,30,13,1841.22
2025-07-03,31,7,3530.52
2025-07-03,32,9,3110.68
2025-07-03,33,0,4366.07
2025-07-03,34,15,1487.07
2025-07-03,35,8,3620.2
2025-07-03,36,4,4242.15
2025-07-03,37,18,705.91
2025-07-03,38,6,3039.67
2025-07-03,39,0,4505.89
2025-07-03,40,5,3556.92
2025-07-03,41,4,3628.2
2025-07-03,42,12,2463.92
2025-07-03,43,5,3704.78
2025-07-03,44,11,1882.22
2025-07-03,45,22,248.46
2025-07-03,46,11,1822.35
2025-07-03,47,3,4124.28
2025-07-03,48,4,3754.57
2025-07-03,49,6,4583.63
2025-07-03,50,10,2430.23
2025-07-03,51,5,3337.79
2025-07-03,52,10,2419.31
2025-07-03,53,19,243.1
2025-07-03,54,7,2930.27
2025-07-03,55,13,2167.54
2025-07-03,56,13,2176.71
2025-07-03,57,20,366.4
2025-07-03,58,6,3069.09
2025-07-03,59,22,571.9
2025-07-03,60,20,294.54
2025-07-03,61,1,4367.54
2025-07-03,62,19,806.62
2025-07-03,63,20,240.46
2025-07-03,64,19,875.94
2025-07-03,65,11,2520.92
2025-07-03,66,19,1416.05
2025-07-03,67,0,4579.06
2025-07-03,68,14,1413.8
2025-07-03,69,20,1571.55
2025-07-03,70,19,362.78
2025-07-03,71,2,3822.31
2025-07-03,72,9,2910.53
2025-07-03,73,12,2515.57
2025-07-03,74,10,2453.5
2025-07-03,75,7,2387.57
2025-07-03,76,10,2130.17
2025-07-03,77,7,2467.74
2025-07-03,78,6,4389.7
2025-07-03,79,1,3769.97
2025-07-03,80,3,3783.62
2025-07-03,81,18,925.66
2025-07-03,82,0,4607.83
2025-07-03,83,6,3574.43
2025-07-03,84,0,4947.41
2025-07-03,85,5,3825.41
2025-07-03,86,16,1009.22
2025-07-03,87,17,861.66
2025-07-03,88,21,352.52
2025-07-03,89,0,4201.02
2025-07-03,90,6,3608.27
2025-07-03,91,18,1026.0
2025-07-03,92,4,3437.83
2025-07-03,93,10,1719.78
2025-07-03,94,1,4555.07
2025-07-03,95,11,1335.39
2025-07-03,96,13,2005.87
2025-07-03,97,17,1112.26
2025-07-03,98,8,2236.3
2025-07-03,99,7,3660.91
2025-07-03,100,5,4164.41
2025-07-02,1,8,3206.69
2025-07-02,2,4,4606.62
2025-07-02,3,9,2667.17
2025-07-02,4,2,4012.07
2025-07-02,5,8,2987.28
2025-07-02,6,0,4579.43
2025-07-02,7,1,4310.27
2025-07-02,8,0,4800.05
2025-07-02,9,7,3358.87
2025-07-02,10,4,4078.74
2025-07-02,11,8,1863.53
2025-07-02,12,16,2422.76
2025-07-02,13,11,1853.7
2025-07-02,14,11,2469.09
2025-07-02,15,4,3989.04
2025-07-02,16,5,3349.06
2025-07-02,17,19,685.33
2025-07-02,18,5,3272.01
2025-07-02,19,3,4166.36
2025-07-02,20,20,1042.14
2025-07-02,21,11,2063.41
2025-07-02,22,13,1906.78
2025-07-02,23,3,3668.23
2025-07-02,24,10,2884.11
2025-07-02,25,8,2585.27
2025-07-02,26,15,1448.51
2025-07-02,27,13,2364.47
2025-07-02,28,16,866.81
2025-07-02,29,17,1207.04
2025-07-02,30,13,1882.78
2025-07-02,31,8,3346.1
2025-07-02,32,9,3085.87
2025-07-02,33,5,4381.72
2025-07-02,34,14,1500.75
2025-07-02,35,3,3489.46
2025-07-02,36,0,4333.07
2025-07-02,37,14,725.82
2025-07-02,38,7,3022.2
2025-07-02,39,2,4518.32
2025-07-02,40,4,3587.35
2025-07-02,41,0,3758.38
2025-07-02,42,8,2564.93
2025-07-02,43,3,3902.43
2025-07-02,44,13,1856.06
2025-07-02,45,22,243.05
2025-07-02,46,9,1764.91
2025-07-02,47,5,4055.29
2025-07-02,48,5,3994.26
2025-07-02,49,0,4919.32
2025-07-02,50,11,2483.72
2025-07-02,51,7,3172.1
2025-07-02,52,12,2358.11
2025-07-02,53,18,254.64
2025-07-02,54,6,2983.38
2025-07-02,55,7,2218.24
2025-07-02,56,12,2268.76
2025-07-02,57,18,387.19
2025-07-02,58,5,2893.3
2025-07-02,59,16,580.87
2025-07-02,60,20,284.71
2025-07-02,61,2,4365.39
2025-07-02,62,15,762.96
2025-07-02,63,22,262.62
2025-07-02,64,17,853.26
2025-07-02,65,11,2417.35
2025-07-02,66,15,1398.06
2025-07-02,67,0,4931.54
2025-07-02,68,16,1334.43
2025-07-02,69,16,1564.17
2025-07-02,70,18,369.2
2025-07-02,71,6,3871.41
2025-07-02,72,7,2794.62
2025-07-02,73,13,2712.78
2025-07-02,74,9,2301.97
2025-07-02,75,15,2359.87
2025-07-02,76,9,2086.36
2025-07-02,77,10,2408.74
2025-07-02,78,4,4119.44
2025-07-02,79,8,3595.17
2025-07-02,80,8,3766.51
2025-07-02,81,20,865.17
2025-07-02,82,0,4546.53
2025-07-02,83,6,3663.38
2025-07-02,84,0,4707.52
2025-07-02,85,6,3923.62
2025-07-02,86,18,1059.62
2025-07-02,87,18,851.15
2025-07-02,88,18,354.76
2025-07-02,89,1,4164.77
2025-07-02,90,4,3595.1
2025-07-02,91,15,937.8
2025-07-02,92,5,3604.09
2025-07-02,93,16,1629.42
2025-07-02,94,0,4829.79
2025-07-02,95,12,1385.55
2025-07-02,96,10,1974.91
