date,product_id,units_sold,price_sold
2025-07-07,1,4,2819
2025-07-07,2,2,3340
2025-07-07,3,11,3353
2025-07-07,4,7,1058
2025-07-07,5,2,1617
2025-07-07,6,0,708
2025-07-07,7,2,240
2025-07-07,8,4,2394
2025-07-07,9,14,2894
2025-07-07,10,13,894
2025-07-07,11,2,787
2025-07-07,12,0,1806
2025-07-07,13,4,1583
2025-07-07,14,13,1874
2025-07-07,15,6,2121
2025-07-07,16,8,2443
2025-07-07,17,14,3034
2025-07-07,18,14,2591
2025-07-07,19,9,1902
2025-07-07,20,12,241
2025-07-07,21,18,4974
2025-07-07,22,6,3354
2025-07-07,23,16,1608
2025-07-07,24,19,234
2025-07-07,25,3,4490
2025-07-07,26,4,741
2025-07-07,27,6,1926
2025-07-07,28,12,3454
2025-07-07,29,14,2629
2025-07-07,30,10,4192
2025-07-07,31,3,4310
2025-07-07,32,12,553
2025-07-07,33,6,3118
2025-07-07,34,18,2034
2025-07-07,35,1,1818
2025-07-07,36,9,3251
2025-07-07,37,12,4809
2025-07-07,38,5,3102
2025-07-07,39,11,3807
2025-07-07,40,11,2080
2025-07-07,41,19,4446
2025-07-07,42,10,3474
2025-07-07,43,6,1474
2025-07-07,44,0,4959
2025-07-07,45,0,3355
2025-07-07,46,19,1862
2025-07-07,47,12,2401
2025-07-07,48,8,4006
2025-07-07,49,2,3860
2025-07-07,50,6,3148
2025-07-07,51,5,238
2025-07-07,52,7,720
2025-07-07,53,8,2727
2025-07-07,54,4,4648
2025-07-07,55,0,4944
2025-07-07,56,18,4542
2025-07-07,57,9,3294
2025-07-07,58,11,1687
2025-07-07,59,14,1452
2025-07-07,60,8,2749
2025-07-07,61,19,4291
2025-07-07,62,16,467
2025-07-07,63,16,1643
2025-07-07,64,19,2813
2025-07-07,65,11,901
2025-07-07,66,6,2245
2025-07-07,67,1,3438
2025-07-07,68,2,4965
2025-07-07,69,16,4677
2025-07-07,70,4,4986
2025-07-07,71,16,3648
